name_customer,cust_number,invoice_creation_date,invoice_due_date,clear_date,total_open_amount
PERFOR llc,200722444,2019-02-28,2019-02-28,2019-02-28,67496.71
CTI A us,100054867,2019-05-02,2019-05-02,2019-05-02,70891.2
SA corporation,200759878,2019-04-09,2019-04-09,2019-04-09,25929.6
SUPE in,200936373,2020-03-05,2020-03-05,2020-03-05,32040.14
UNIFIE systems,200792293,2019-11-21,2019-11-21,2019-11-21,45943.26
LOB corp,140104409,2019-05-03,2019-05-03,2019-05-03,75405.93
WAKE associates,200704858,2019-04-22,2019-04-22,2019-04-22,9585.82
WAL-MAR in,200769623,2019-10-31,2019-10-31,2019-10-31,62064.45
SUPE ,200793568,2019-10-30,2019-10-30,2019-10-30,530.41
LOB associates,140104409,2019-03-22,2019-03-22,2019-03-22,75374.15
H E BUT in,200761734,2019-03-22,2019-03-22,,55297.38
WAL-MAR co,200769623,2019-03-22,2019-03-22,,11383.13
BJ'S  foundation,200726979,2019-12-04,2019-12-04,2019-12-04,333.31
CHENS E llc,100021489,2019-10-02,2019-10-02,2019-10-02,4458.0
SYGMA trust,200782669,2020-02-07,2020-02-07,2020-02-07,7594.04
WAL-MAR foundation,200769623,2019-05-10,2019-05-10,2019-05-10,6774.99
WAL-MAR corporation,200769623,2019-02-20,2019-02-20,2019-02-20,4821.77
DOT corporation,200705742,2019-08-12,2019-08-12,2019-08-12,35927.3
DENVER in,100036538,2019-04-18,2019-04-18,2019-04-18,3646.5
SUPER  us,200749225,2020-02-28,2020-02-28,2020-02-28,21036.06
KROGER corp,200729290,2019-05-13,2019-05-13,2019-05-13,49618.06
KRAFT F foundation,CCU013,2020-02-28,2020-02-28,2020-02-28,216.96
WAL-MAR corp,200769623,2020-02-28,2020-02-28,,1991.84
WAL-MAR in,200769623,2019-11-20,2019-11-20,2019-11-20,677.66
WAL-MAR systems,200769623,2019-11-12,2019-11-12,2019-11-12,64657.36
SA systems,200759878,2019-12-27,2019-12-27,2019-12-27,29963.18
WAL-MAR associates,200769623,2019-01-25,2019-01-25,2019-01-25,7463.23
C&S WH systems,200762301,2019-01-25,2019-01-25,,45529.77
AM us,200418007,2019-10-18,2019-10-18,2019-10-18,88091.7
WAL-MAR trust,200769623,2019-03-20,2019-03-20,2019-03-20,7862.78
WAL-MAR systems,200769623,2019-04-26,2019-04-26,2019-04-26,5830.2
THE  corp,140106181,2020-04-08,2020-04-08,2020-04-08,9594.73
WAL-MAR corporation,200769623,2020-02-04,2020-02-04,2020-02-04,16178.17
BJ'S  in,200726979,2019-03-15,2019-03-15,2019-03-15,783.71
COST co,200794332,2019-12-23,2019-12-23,2019-12-23,3147.38
BJ'S  associates,200726979,2019-07-01,2019-07-01,2019-07-01,158.23
WAL-MAR trust,200769623,2019-11-05,2019-11-05,2019-11-05,8798.66
MEIJ llc,200780383,2019-07-11,2019-07-11,2019-07-11,1411.43
WAL-MAR systems,200769623,2019-08-08,2019-08-08,2019-08-08,46961.56
SAVE-ON- us,140104225,2019-03-26,2019-03-26,2019-03-26,1213.53
DEMOU co,200793088,2019-06-27,2019-06-27,2019-06-27,14085.97
C&S WH systems,200762301,2019-07-02,2019-07-02,2019-07-02,63244.93
WAL-MAR in,200769623,2019-01-24,2019-01-24,2019-01-24,65519.22
WAKE trust,200704858,2019-11-25,2019-11-25,2019-11-25,163078.27
WAL-MAR llc,200769623,2019-08-12,2019-08-12,2019-08-12,59081.44
WAL-MAR us,200769623,2019-09-04,2019-09-04,2019-09-04,21109.35
AM systems,200418007,2019-04-30,2019-04-30,2019-04-30,56657.31
SPAR corp,200712187,2019-11-12,2019-11-12,2019-11-12,124381.38
KRFT FDS corp,CCU002,2019-11-12,2019-11-12,,2807.84
GORDON F ,140105847,2019-07-16,2019-07-16,2019-07-16,73105.73
KRAFT  llc,CCCA02,2019-05-03,2019-05-03,2019-05-03,16934.4
SHAWS  trust,200275115,2019-07-11,2019-07-11,2019-07-11,162269.48
COST corporation,200794332,2019-11-15,2019-11-15,2019-11-15,14840.16
VARI corp,200452949,2019-03-22,2019-03-22,2019-03-22,1713.54
DECA ,200353024,2019-05-09,2019-05-09,2019-05-09,406.98
SYSCO FO ,200780825,2019-06-27,2019-06-27,2019-06-27,34611.2
TARG trust,200744019,2019-05-20,2019-05-20,2019-05-20,7149.14
99 CE trust,100012638,2019-04-01,2019-04-01,2019-04-01,9994.28
KROGER systems,200732755,2019-04-01,2019-04-01,,14189.05
KROGER co,200732755,2019-07-22,2019-07-22,2019-07-22,17403.69
ROU corp,200790107,2019-05-14,2019-05-14,2019-05-14,16335.0
WAL-MAR corporation,200769623,2019-04-11,2019-04-11,2019-04-11,32994.42
WAL-MAR corporation,200769623,2019-04-08,2019-04-08,2019-04-08,32262.89
TARG co,200744019,2019-08-13,2019-08-13,2019-08-13,1047.63
C&S WH llc,200762301,2019-05-14,2019-05-14,2019-05-14,9483.94
PAPA associates,100046479,2019-08-07,2019-08-07,2019-08-07,14230.4
BJ'S  ,200726979,2019-02-11,2019-02-11,2019-02-11,742.23
KRAFT  us,CCCA02,2019-11-27,2019-11-27,2019-11-27,113911.56
WAL-MAR llc,200769623,2019-07-18,2019-07-18,2019-07-18,1355.36
RESTA us,200974851,2019-07-18,2019-07-18,,2053.31
C&S WH associates,200762301,2019-07-18,2019-07-18,,51340.44
DOLLAR systems,100001196,2019-10-10,2019-10-10,2019-10-10,8664.5
BJ'S  foundation,200726979,2019-09-12,2019-09-12,2019-09-12,15629.83
FR trust,200705372,2019-09-12,2019-09-12,,3382.64
AL corp,200739006,2019-08-05,2019-08-05,2019-08-05,28426.8
SYSCO  llc,200764795,2019-03-04,2019-03-04,2019-03-04,7442.34
BJ'S  us,200726979,2019-03-04,2019-03-04,,171.92
WAL-MAR us,200769623,2019-08-28,2019-08-28,2019-08-28,58195.32
SA trust,200729942,2019-08-28,2019-08-28,2019-08-28,8122.8
WAL-MAR co,200769623,2019-07-05,2019-07-05,2019-07-05,5824.36
KEYBRA foundation,140105963,2019-10-17,2019-10-17,2019-10-17,35475.81
WINC in,200706844,2019-05-09,2019-05-09,2019-05-09,11159.2
OK corporation,200739534,2019-06-05,2019-06-05,2019-06-05,31972.57
WAL-MAR us,200769623,2020-01-27,2020-01-27,2020-01-27,1897.39
WAL-MAR corporation,200769623,2019-09-24,2019-09-24,2019-09-24,14773.28
WAL-MAR co,200769623,2019-08-12,2019-08-12,2019-08-12,64259.62
US  ,200515231,2019-04-19,2019-04-19,2019-04-19,59024.69
WAL-MAR associates,200769623,2019-04-19,2019-04-19,,16871.67
JET systems,200152991,2020-02-13,2020-02-13,2020-02-13,1021.72
GENERAL us,200763489,2019-05-09,2019-05-09,2019-05-09,129012.1
FAMILY llc,200786288,2019-08-15,2019-08-15,2019-08-15,14929.88
WAL-MAR ,200769623,2019-08-15,2019-08-15,,58020.77
PERISH trust,200526831,2019-02-26,2019-02-26,2019-02-26,121719.39
WAL-MAR co,200769623,2019-02-26,2019-02-26,,25704.91
GORDO corporation,200782001,2019-02-15,2019-02-15,2019-02-15,69183.69
AGR associates,140118172,2019-06-17,2019-06-17,2019-06-17,148135.81
DOT systems,200705742,2019-12-05,2019-12-05,2019-12-05,1068.19
SYSCO F us,200736337,2019-12-09,2019-12-09,2019-12-09,34432.11
MAX foundation,200865160,2019-04-06,2019-04-06,2019-04-06,5743.2
SYSCO F foundation,200736337,2019-12-26,2019-12-26,2019-12-26,8840.06
WAL-MAR co,200769623,2019-08-13,2019-08-13,2019-08-13,5341.08
FR foundation,200705372,2019-10-10,2019-10-10,2019-10-10,21957.45
BAS llc,100004536,2019-07-05,2019-07-05,2019-07-05,140584.31
SPAR associates,200712187,2019-12-16,2019-12-16,2019-12-16,141180.27
DOT foundation,200705742,2019-12-16,2019-12-16,,46849.22
DEC in,200020431,2019-03-04,2019-03-04,2019-03-04,2296.21
SA systems,200759878,2019-09-09,2019-09-09,2019-09-09,30600.15
WAL-MAR co,200769623,2019-12-16,2019-12-16,2019-12-16,23682.73
WINC trust,200706844,2019-06-18,2019-06-18,2019-06-18,36344.93
WAL-MAR trust,200769623,2019-04-17,2019-04-17,2019-04-17,41810.36
DEMOU llc,200793088,2019-04-30,2019-04-30,2019-04-30,68353.43
WAL-MAR in,200769623,2019-06-27,2019-06-27,2019-06-27,15318.11
RESTA trust,200974851,2019-09-26,2019-09-26,2019-09-26,2399.06
BJ'S  ,200726979,2019-07-09,2019-07-09,2019-07-09,163.8
SA llc,200759878,2020-01-30,2020-01-30,2020-01-30,35473.71
KRAFT  foundation,CCCA02,2019-05-31,2019-05-31,2019-05-31,58724.05
KROGER systems,200875006,2019-02-05,2019-02-05,2019-02-05,96213.66
WAL-MAR systems,200769623,2020-01-30,2020-01-30,2020-01-30,16102.61
DECA us,200230690,2019-10-23,2019-10-23,2019-10-23,8388.04
SUPE in,200793568,2019-11-06,2019-11-06,2019-11-06,430.87
ASSOCIAT in,200772670,2019-04-05,2019-04-05,2019-04-05,47817.03
PUBLI corporation,200707822,2019-07-16,2019-07-16,2019-07-16,99247.2
WINC corporation,200706844,2019-02-20,2019-02-20,2019-02-20,46428.81
PUBLI in,200707822,2019-11-19,2019-11-19,2019-11-19,22758.67
WISCO llc,200093491,2019-11-19,2019-11-19,,103125.0
COAS in,200337148,2019-05-24,2019-05-24,2019-05-24,591.4
COSTCO trust,140104429,2019-01-28,2019-01-28,2019-01-28,648.72
H E BUT llc,200761734,2019-01-28,2019-01-28,,14812.16
BEST  foundation,100000533,2019-06-24,2019-06-24,2019-06-24,625.0
WAL-MAR co,200769623,2020-02-25,2020-02-25,2020-02-25,284.44
WAL-MAR llc,200769623,2019-04-08,2019-04-08,2019-04-08,71047.42
TARG trust,200744019,2019-11-01,2019-11-01,2019-11-01,34546.18
TARG in,200744019,2019-04-10,2019-04-10,2019-04-10,7734.31
SAFEW llc,200772595,2019-07-18,2019-07-18,2019-07-18,18596.71
WAL-MAR llc,200769623,2019-04-17,2019-04-17,2019-04-17,16244.37
SYSCO FO us,200780825,2019-03-11,2019-03-11,2019-03-11,1227.25
NASH  co,200777735,2019-09-03,2019-09-03,2019-09-03,74911.11
WAL-M corporation,140106408,2019-12-18,2019-12-18,2019-12-18,26785.97
BEN  ,200725421,2019-08-02,2019-08-02,2019-08-02,31536.46
TARG llc,200744019,2019-08-23,2019-08-23,2019-08-23,21830.49
KRAFT F corp,CCU013,2019-11-27,2019-11-27,2019-11-27,567.0
BJ'S  trust,200726979,2019-07-29,2019-07-29,2019-07-29,296.04
KRAFT  us,CCCA02,2019-08-02,2019-08-02,2019-08-02,24902.61
UNIFIE foundation,200792293,2020-03-09,2020-03-09,2020-03-09,67301.02
WAL-MAR corp,200769623,2019-03-14,2019-03-14,2019-03-14,47319.45
KRAFT  in,CCCA02,2019-11-01,2019-11-01,2019-11-01,40353.72
AM us,200418007,2019-06-03,2019-06-03,2019-06-03,1138.95
WAL-MAR co,200769623,2019-06-03,2019-06-03,,6532.6
DECA llc,200353024,2019-09-16,2019-09-16,2019-09-16,40.08
C&S WH associates,200762301,2019-09-04,2019-09-04,2019-09-04,47997.92
WAL-MAR systems,200769623,2019-12-19,2019-12-19,2019-12-19,13761.11
WAL-MAR in,200769623,2019-06-28,2019-06-28,2019-06-28,59573.15
PAPA JO systems,100043936,2019-12-30,2019-12-30,2019-12-30,18145.19
KRFT FDS ,CCU002,2020-02-28,2020-02-28,2020-02-28,10775.04
SHERM'S  foundation,200793319,2019-03-11,2019-03-11,2019-03-11,11589.9
WAL-MAR trust,200769623,2019-07-22,2019-07-22,2019-07-22,135.54
H E BUT co,200761734,2019-11-20,2019-11-20,2019-11-20,69630.49
BJ'S  us,200726979,2019-11-18,2019-11-18,2019-11-18,1051.13
WAL-MAR ,200769623,2019-11-18,2019-11-18,,16921.67
AM foundation,200418007,2019-11-18,2019-11-18,,154608.97
MITC trust,140118166,2019-10-23,2019-10-23,2019-10-23,505.89
WAL-MAR co,200769623,2019-05-07,2019-05-07,2019-05-07,14067.42
OK corp,200739534,2019-11-22,2019-11-22,2019-11-22,59660.34
H E BUT corp,200761734,2019-06-26,2019-06-26,2019-06-26,88098.66
WAL-MAR foundation,200769623,2019-06-26,2019-06-26,,58528.58
WAL-MAR foundation,200769623,2019-04-15,2019-04-15,2019-04-15,59010.07
SHEET ,200943423,2019-11-01,2019-11-01,2019-11-01,15924.76
WAL-MAR ,200769623,2019-11-01,2019-11-01,,13344.65
SYSCO IN foundation,100009932,2019-05-28,2019-05-28,2019-05-28,30784.7
ASSOCIAT us,200772670,2019-03-20,2019-03-20,2019-03-20,672.1
AL ,200739006,2019-06-20,2019-06-20,2019-06-20,7561.08
DOLLAR co,100001196,2019-07-03,2019-07-03,2019-07-03,12428.82
DI llc,200769369,2019-06-27,2019-06-27,2019-06-27,54659.16
DOT trust,200705742,2019-03-29,2019-03-29,2019-03-29,14238.67
BURR llc,200555117,2019-03-29,2019-03-29,,131115.3
WAL-MAR foundation,200769623,2019-06-26,2019-06-26,2019-06-26,12298.92
KROGER llc,200793513,2019-05-28,2019-05-28,2019-05-28,5029.31
BJ'S  systems,200726979,2019-05-28,2019-05-28,,554.96
DEC corp,200416837,2019-05-28,2019-05-28,,10253.19
WAL-MAR systems,200769623,2019-05-28,2019-05-28,,26883.48
SYSCO  co,200714710,2019-02-19,2019-02-19,2019-02-19,1255.17
WAL-MAR co,200769623,2019-02-19,2019-02-19,,71.11
WAL-MAR us,200769623,2020-01-21,2020-01-21,2020-01-21,1626.73
MID MO systems,200723794,2019-11-20,2019-11-20,2019-11-20,55273.3
SA in,200759878,2019-11-20,2019-11-20,,13976.96
BRENH co,200758531,2019-11-20,2019-11-20,,15345.97
WAL-MAR llc,200769623,2019-07-01,2019-07-01,2019-07-01,15652.25
WAL-MAR corp,200769623,2019-05-23,2019-05-23,2019-05-23,8189.54
US  llc,200700919,2019-08-16,2019-08-16,2019-08-16,59813.0
RESTA trust,200974851,2019-09-11,2019-09-11,2019-09-11,1880.05
ALBER co,200750051,2019-09-11,2019-09-11,,67245.48
ASSOCIAT llc,200772670,2019-09-11,2019-09-11,,77313.41
MITCH foundation,200799342,2019-12-03,2019-12-03,2019-12-03,90869.47
PUBLI systems,200707822,2019-12-03,2019-12-03,,501.11
BJ'S  llc,200726979,2019-12-03,2019-12-03,,33499.03
SUPE in,200793568,2019-09-26,2019-09-26,2019-09-26,116164.02
PUBLI foundation,200707822,2019-03-05,2019-03-05,2019-03-05,80318.25
WAL-MAR us,200769623,2020-02-18,2020-02-18,2020-02-18,34841.89
WAL-MAR foundation,200769623,2019-01-15,2019-01-15,2019-01-15,22882.21
SA ,200759878,2020-03-31,2020-03-31,2020-03-31,126051.77
MDV/ llc,200792734,2019-11-04,2019-11-04,2019-11-04,86385.42
C&S WH trust,200762301,2019-11-21,2019-11-21,2019-11-21,64882.9
COSTCO in,140104429,2020-02-24,2020-02-24,2020-02-24,3302.07
WAL-MAR systems,200769623,2019-08-19,2019-08-19,2019-08-19,104521.65
ASSOCIAT associates,200772670,2019-02-06,2019-02-06,2019-02-06,105396.23
WAL-MAR systems,200769623,2019-09-09,2019-09-09,2019-09-09,23462.64
KRAFT  associates,CCCA02,2019-08-30,2019-08-30,2019-08-30,63383.04
SYGMA corporation,200782669,2019-09-03,2019-09-03,2019-09-03,17184.98
SA associates,200759878,2019-03-25,2019-03-25,2019-03-25,29728.0
BJ'S  associates,200726979,2019-10-07,2019-10-07,2019-10-07,261.26
METRO  in,140104423,2019-10-07,2019-10-07,,60455.7
DEC corp,200416837,2019-02-01,2019-02-01,2019-02-01,2300.14
WAL-MAR foundation,200769623,2020-01-28,2020-01-28,2020-01-28,59918.1
RA associates,200704045,2019-10-08,2019-10-08,2019-10-08,6408.15
MASON foundation,200743618,2019-07-17,2019-07-17,2019-07-17,14308.59
MEIJ in,200780383,2019-03-21,2019-03-21,2019-03-21,112430.05
SYSCO us,200900909,2019-07-02,2019-07-02,2019-07-02,35296.5
TARG us,200744019,2019-07-02,2019-07-02,,2080.58
AM ,200418007,2019-07-02,2019-07-02,,2579.09
BJ'S  systems,200726979,2019-07-02,2019-07-02,,904.56
WAL-MAR corporation,200769623,2019-04-17,2019-04-17,2019-04-17,58119.66
MEIJ corp,200780383,2019-04-17,2019-04-17,,45756.21
WAL-MAR llc,200769623,2019-03-27,2019-03-27,2019-03-27,22473.63
QUALITY C llc,100006311,2019-01-14,2019-01-14,2019-01-14,20913.79
REINHA corp,200756072,2020-02-27,2020-02-27,2020-02-27,11372.28
BLOU corp,200727278,2019-11-22,2019-11-22,2019-11-22,82057.05
BJ'S  corp,200726979,2019-11-22,2019-11-22,,430.13
KROGER co,200752302,2019-06-06,2019-06-06,2019-06-06,14106.64
WAL-MAR co,200769623,2019-05-28,2019-05-28,2019-05-28,1897.5
WAL-MAR us,200769623,2019-11-04,2019-11-04,2019-11-04,57206.27
SPAR corp,200712187,2019-11-04,2019-11-04,,55669.62
METRO  systems,140104423,2019-11-04,2019-11-04,,90601.61
ALBERT in,200881076,2019-11-04,2019-11-04,,54700.74
WAL-MAR trust,200769623,2019-05-21,2019-05-21,2019-05-21,15032.19
DECA corp,200353024,2019-03-08,2019-03-08,2019-03-08,5108.85
WAL-MAR in,200769623,2019-08-06,2019-08-06,2019-08-06,44189.18
SYSCO F corp,200736337,2019-10-07,2019-10-07,2019-10-07,6027.85
WINC co,200706844,2019-01-24,2019-01-24,2019-01-24,308.11
WAL-M co,140106408,2019-02-20,2019-02-20,2019-02-20,6211.18
SA co,200759878,2019-02-20,2019-02-20,,25098.48
SUPE co,200793568,2019-07-24,2019-07-24,2019-07-24,16734.88
UNIFIE corp,200792293,2019-10-07,2019-10-07,2019-10-07,17920.57
IN-N foundation,100043892,2019-07-24,2019-07-24,2019-07-24,15386.64
WAL-MAR us,200769623,2019-05-15,2019-05-15,2019-05-15,3471.68
BJ'S  us,200726979,2019-11-25,2019-11-25,2019-11-25,63942.18
M B  us,200741174,2019-09-04,2019-09-04,2019-09-04,37567.64
DEC trust,200803720,2019-11-26,2019-11-26,2019-11-26,30061.76
LOB corporation,140104409,2019-09-27,2019-09-27,2019-09-27,114848.05
KRFT FDS in,CCU002,2019-08-30,2019-08-30,2019-08-30,13872.0
C&S WH corporation,200762301,2020-02-06,2020-02-06,2020-02-06,97783.91
COSTCO co,140104429,2019-02-20,2019-02-20,2019-02-20,991.44
WAL-MAR in,200769623,2019-11-13,2019-11-13,2019-11-13,7635.67
BJ'S  ,200726979,2019-10-09,2019-10-09,2019-10-09,174.34
BE llc,200806580,2019-10-09,2019-10-09,,5795.0
CO corporation,200561861,2019-09-13,2019-09-13,2019-09-13,143326.89
FAMILY corporation,200786288,2019-09-13,2019-09-13,,73033.34
METRO  us,140104423,2019-09-13,2019-09-13,,238348.53
JRD trust,200781803,2019-11-04,2019-11-04,2019-11-04,5002.07
WAL-MAR corp,200769623,2019-05-07,2019-05-07,2019-05-07,16645.96
SA trust,200759878,2019-12-02,2019-12-02,2019-12-02,46067.79
AM corporation,200418007,2019-06-26,2019-06-26,2019-06-26,1770.3
COAS ,200337148,2019-12-31,2019-12-31,2019-12-31,3252.6
CUSTOM corp,200847305,2019-06-19,2019-06-19,2019-06-19,49646.02
WAKE corp,200704858,2019-06-19,2019-06-19,,96857.1
BJ'S  in,200726979,2019-06-19,2019-06-19,,225.51
WAL-MAR ,200769623,2019-08-13,2019-08-13,2019-08-13,44.0
HEARTHSI trust,200399141,2020-04-23,2020-04-23,2020-04-23,23343.87
SYSCO  trust,200764795,2019-09-30,2019-09-30,2019-09-30,18214.0
ASSOCIAT in,200772670,2019-09-30,2019-09-30,,401.74
WAL-MAR in,200769623,2020-01-21,2020-01-21,2020-01-21,56273.52
WAL-MAR corporation,200769623,2019-03-11,2019-03-11,2019-03-11,7516.79
CUSTOM systems,200847305,2020-01-31,2020-01-31,2020-01-31,19776.4
WAL-MAR associates,200769623,2019-11-25,2019-11-25,2019-11-25,11061.98
GENERAL us,200763489,2019-02-19,2019-02-19,2019-02-19,92209.96
WAL-MAR associates,200769623,2019-02-19,2019-02-19,,4341.39
TARG ,200744019,2019-02-19,2019-02-19,,1438.94
METRO  co,140104423,2019-02-19,2019-02-19,,50782.27
KRAFT  in,CCCA02,2019-03-01,2019-03-01,2019-03-01,13229.16
SYSCO F in,200718130,2019-02-06,2019-02-06,2019-02-06,11176.12
WAL-MAR co,200769623,2019-07-03,2019-07-03,2019-07-03,45392.41
WAL-MAR corporation,200769623,2019-12-10,2019-12-10,2019-12-10,5444.16
UNI corporation,100012482,2019-12-10,2019-12-10,,18743.44
NASH  corp,200777735,2019-07-17,2019-07-17,2019-07-17,1111.45
C&S WH systems,200762301,2019-07-17,2019-07-17,,104360.23
SYSC trust,200331749,2019-09-26,2019-09-26,2019-09-26,676.66
ROU ,200790107,2019-01-23,2019-01-23,2019-01-23,95222.31
DAYSTAR  corporation,100032134,2019-05-22,2019-05-22,2019-05-22,33220.74
WAL-MAR llc,200769623,2019-06-03,2019-06-03,2019-06-03,20650.36
MEIJ systems,200780383,2019-08-27,2019-08-27,2019-08-27,493.88
AL foundation,200739006,2019-07-22,2019-07-22,2019-07-22,50931.84
MCL corporation,200799367,2019-03-06,2019-03-06,2019-03-06,109824.29
WAL-MAR trust,200769623,2019-07-26,2019-07-26,2019-07-26,5123.95
METRO  llc,140104423,2019-03-18,2019-03-18,2019-03-18,53935.59
BJ'S  us,200726979,2019-09-20,2019-09-20,2019-09-20,9222.81
WAL-MAR us,200769623,2019-09-20,2019-09-20,,45747.27
ALBERT foundation,200920735,2019-09-20,2019-09-20,,68336.82
C& trust,200435191,2019-09-20,2019-09-20,,118691.68
SYSC us,140105686,2019-05-23,2019-05-23,2019-05-23,3252.0
KRAFT  corporation,CCCA02,2020-02-28,2020-02-28,2020-02-28,18844.8
ATLANTA  trust,200458253,2019-07-30,2019-07-30,2019-07-30,54750.96
WAL-MAR co,200769623,2019-05-20,2019-05-20,2019-05-20,26923.72
C&S WH ,200762301,2019-05-20,2019-05-20,,53387.42
WAL-MAR systems,200769623,2020-01-28,2020-01-28,2020-01-28,58542.47
SA in,200729942,2019-03-13,2019-03-13,2019-03-13,10044.03
WAL-MAR trust,200769623,2020-02-14,2020-02-14,2020-02-14,3797.1
WAL-MAR foundation,200769623,2020-03-10,2020-03-10,2020-03-10,710.4
SAFEW corp,200772595,2019-11-12,2019-11-12,2019-11-12,70325.9
WAL-MAR associates,200769623,2019-11-12,2019-11-12,,66600.51
RESTA trust,200974851,2019-11-22,2019-11-22,2019-11-22,155.87
SA trust,200759878,2019-01-22,2019-01-22,2019-01-22,15010.4
SYGMA trust,200782669,2020-02-07,2020-02-07,2020-02-07,24519.66
BJ'S  systems,200726979,2020-02-07,2020-02-07,,338.26
WAL-MAR in,200769623,2019-01-30,2019-01-30,2019-01-30,1626.12
WAL-MAR ,200769623,2019-12-23,2019-12-23,2019-12-23,39066.91
US  systems,200700919,2019-05-29,2019-05-29,2019-05-29,15410.27
KROG us,200029010,2019-05-07,2019-05-07,2019-05-07,217661.7
WAL-MAR trust,200769623,2019-02-26,2019-02-26,2019-02-26,26975.93
COST foundation,200794332,2019-08-14,2019-08-14,2019-08-14,75477.09
REINHA us,200756072,2019-04-05,2019-04-05,2019-04-05,14605.86
PARAM co,140103335,2019-04-05,2019-04-05,,10944.3
COSTCO trust,140104429,2019-03-14,2019-03-14,2019-03-14,40126.55
GR JEA corporation,140106302,2019-11-12,2019-11-12,2019-11-12,7337.81
WAL-MAR llc,200769623,2019-02-12,2019-02-12,2019-02-12,29468.64
DOT trust,200705742,2019-09-03,2019-09-03,2019-09-03,14614.82
US  us,200700919,2019-03-08,2019-03-08,2019-03-08,87171.88
PUBLI co,200707822,2019-02-25,2019-02-25,2019-02-25,57749.07
C&S WH systems,200762301,2019-04-23,2019-04-23,2019-04-23,66843.46
MDV/ corporation,200792734,2019-07-26,2019-07-26,2019-07-26,87058.49
SA in,200759878,2020-03-03,2020-03-03,2020-03-03,80282.8
SKID llc,200468954,2019-05-09,2019-05-09,2019-05-09,4723.06
WAL-MAR in,200769623,2020-03-04,2020-03-04,2020-03-04,4543.5
DEC us,200416837,2019-10-01,2019-10-01,2019-10-01,4883.74
KRFT FDS ,CCU002,2019-05-03,2019-05-03,2019-05-03,13610.82
AM in,200418007,2019-05-03,2019-05-03,,7326.58
WAL-MAR foundation,200769623,2019-05-03,2019-05-03,,46082.25
WAL-M trust,140106408,2019-03-15,2019-03-15,2019-03-15,1160.69
BE co,200806580,2019-05-02,2019-05-02,2019-05-02,3290.0
BJ'S  foundation,200726979,2019-05-02,2019-05-02,,319.93
WAL-MAR co,200769623,2019-05-02,2019-05-02,,725.42
MAYR systems,140104432,2019-07-16,2019-07-16,2019-07-16,7383.04
WAL-MAR corporation,200769623,2019-11-25,2019-11-25,2019-11-25,49972.84
KRAFT F llc,CCU013,2019-11-25,2019-11-25,,16851.34
MCLANE ,200126819,2020-03-09,2020-03-09,2020-03-09,24778.43
GEOR in,200858049,2019-01-31,2019-01-31,2019-01-31,7592.8
BJ'S  us,200726979,2020-03-06,2020-03-06,2020-03-06,481.75
AM systems,200418007,2020-03-06,2020-03-06,,15291.05
WAKE trust,200704858,2019-03-01,2019-03-01,2019-03-01,44722.08
WAL-MAR in,200769623,2019-03-29,2019-03-29,2019-03-29,31723.93
PRATT corp,140106231,2019-07-10,2019-07-10,2019-07-10,24925.53
CHEES llc,200452014,2019-12-16,2019-12-16,2019-12-16,59815.8
WAL-MAR trust,200769623,2019-12-16,2019-12-16,,29600.48
SA us,200759878,2019-07-25,2019-07-25,2019-07-25,114036.42
SA corp,200759878,2019-09-23,2019-09-23,2019-09-23,15113.86
KING S us,200707005,2019-06-03,2019-06-03,2019-06-03,47720.82
SYSCO  co,200714710,2019-09-24,2019-09-24,2019-09-24,8056.45
SO llc,140104440,2019-07-31,2019-07-31,2019-07-31,30701.85
BJ'S  ,200726979,2020-03-10,2020-03-10,2020-03-10,63.46
SUPE corp,200793568,2019-06-18,2019-06-18,2019-06-18,1027.76
WAL-MAR trust,200769623,2019-12-12,2019-12-12,2019-12-12,39020.87
BJ'S  llc,200726979,2019-12-30,2019-12-30,2019-12-30,737.67
ISLAND corp,140106376,2019-12-30,2019-12-30,,73485.51
DI corp,200769369,2019-04-08,2019-04-08,2019-04-08,32279.86
LOB associates,140104409,2019-08-05,2019-08-05,2019-08-05,46347.74
WAL-MAR foundation,200769623,2019-08-05,2019-08-05,,7243.24
C&S WH corp,200762301,2019-02-07,2019-02-07,2019-02-07,48879.52
COST corporation,200794332,2019-05-08,2019-05-08,2019-05-08,11827.66
WEIS systems,200771157,2020-03-12,2020-03-12,2020-03-12,14880.14
GROC trust,200915438,2019-09-20,2019-09-20,2019-09-20,8012.0
DELHAIZE systems,100031704,2019-12-24,2019-12-24,2019-12-24,31149.42
WAL-MAR corp,200769623,2019-02-11,2019-02-11,2019-02-11,34311.32
WAL-MAR trust,200769623,2019-07-15,2019-07-15,2019-07-15,1084.22
KRAFT  llc,CCCA02,2019-12-20,2019-12-20,2019-12-20,26975.61
US  ,200789077,2019-05-17,2019-05-17,2019-05-17,11249.72
WINC corp,200706844,2019-05-17,2019-05-17,,2924.67
WAL-MAR associates,200769623,2019-07-19,2019-07-19,2019-07-19,53173.71
WAL-MAR us,200769623,2019-12-30,2019-12-30,2019-12-30,5623.01
BOZZU ,200779906,2019-12-04,2019-12-04,2019-12-04,54701.95
KRAFT  us,CCCA02,2019-05-31,2019-05-31,2019-05-31,18106.08
DOT llc,200705742,2019-05-31,2019-05-31,,77222.68
WAL-MAR ,200769623,2020-01-21,2020-01-21,2020-01-21,4338.1
SYSC corp,140105686,2019-09-19,2019-09-19,2019-09-19,63319.4
